gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,3/12/23,0,1,0.971047547,0.741489232,0.588248324,0.406558025,0.308621507,0.22085017,1,1,248,Houston,93.22,Midwest,1,96
mens,3/12/23,0,1,0.986018307,0.819507262,0.654195843,0.452906394,0.304917872,0.161761185,1,1,333,Alabama,92.57,South,1,0
mens,3/12/23,0,1,0.921391659,0.646431553,0.452847483,0.222234482,0.14000751,0.082699134,1,1,251,Texas,90.08,Midwest,2,124
mens,3/12/23,0,1,0.984874378,0.69478706,0.407203221,0.253284049,0.11982747,0.052968225,1,1,2509,Purdue,89.48,East,1,32
mens,3/12/23,0,1,0.978208685,0.656920532,0.389980839,0.202774729,0.091264956,0.049550306,1,1,2305,Kansas,89.62,West,1,64
mens,3/12/23,0,1,0.916324146,0.636505465,0.376589198,0.218817242,0.090201725,0.045560372,1,1,2250,Gonzaga,89.92,West,3,84
mens,3/12/23,0,1,0.935394107,0.674503558,0.350618916,0.145674263,0.08355365,0.036703994,1,1,12,Arizona,89,South,2,28
mens,3/12/23,0,1,0.954593616,0.695641022,0.372279437,0.207519464,0.075046756,0.033976024,1,1,26,UCLA,88.26,West,2,92
mens,3/12/23,0,1,0.846392029,0.645402201,0.314987954,0.148964715,0.061235588,0.030858307,1,1,41,Connecticut,89.24,West,4,76
mens,3/12/23,0,1,0.889203263,0.584277017,0.342156839,0.163023773,0.067898241,0.026682275,1,1,269,Marquette,87.6,East,2,60
mens,3/12/23,0,1,0.889010974,0.451153926,0.241321565,0.095409239,0.056138545,0.025384482,1,1,239,Baylor,87.13,South,3,20
mens,3/12/23,0,1,0.785335862,0.457925503,0.260874761,0.110836055,0.060183228,0.024875662,1,1,156,Creighton,87.56,South,6,16
mens,3/12/23,0,1,0.819032266,0.457112286,0.226753343,0.132184607,0.05408181,0.020908122,1,1,150,Duke,87.11,East,5,40
mens,3/12/23,0,1,0.867605166,0.46447596,0.216502044,0.120432564,0.050080183,0.019651727,1,1,2633,Tennessee,86.87,East,4,44
mens,3/12/23,0,1,0.664488072,0.446210806,0.232082894,0.103480708,0.040300937,0.014892382,1,1,96,Kentucky,86.01,East,6,48
mens,3/12/23,0,1,0.737316538,0.470208014,0.14871807,0.072521076,0.032506922,0.013903798,1,1,84,Indiana,85.81,Midwest,4,108
mens,3/12/23,0,1,0.60401245,0.21929161,0.124536951,0.046087028,0.024235249,0.012028489,1,1,245,Texas A&M,85.13,Midwest,7,120
mens,3/12/23,0,1,0.678964288,0.259550573,0.115422087,0.051341087,0.020315669,0.009918585,1,1,2628,Texas Christian,85.41,West,6,80
mens,3/12/23,0,1,0.669242707,0.385298635,0.102075736,0.046222328,0.022748117,0.008456092,1,1,21,San Diego State,86.04,South,5,8
mens,3/12/23,0,1,0.57566435,0.310552576,0.131102256,0.050010013,0.020871425,0.008359643,1,1,66,Iowa State,84.52,Midwest,6,112
mens,3/12/23,0,1,0.580922797,0.159191778,0.089796666,0.040943299,0.018508499,0.007978505,1,1,2,Auburn,84.87,Midwest,9,102
mens,3/12/23,0,1,0.874221896,0.461439763,0.164394027,0.05351694,0.020982712,0.007937184,1,1,2752,Xavier,84.36,Midwest,3,116
mens,3/12/23,0,1,0.641222075,0.216370178,0.099449089,0.050560152,0.019715273,0.007293645,1,1,235,Memphis,84.93,East,8,36
mens,3/12/23,0,1,0.851407907,0.349000831,0.148982154,0.054215416,0.019647872,0.006798314,1,1,2306,Kansas State,84.45,East,3,52
mens,3/12/23,0,1,0.585061934,0.180580515,0.092029519,0.045293661,0.015549224,0.006736092,1,1,2608,Saint Mary's (CA),85.91,West,5,72
mens,3/12/23,0,1,0.515279284,0.178697793,0.085600101,0.035551209,0.013563825,0.00642351,1,1,8,Arkansas,85.1,West,8,68
mens,3/12/23,0,1,0.721410838,0.375305749,0.098569752,0.044362887,0.019295838,0.006305345,1,1,258,Virginia,83.81,South,4,12
mens,3/12/23,0,1,0.637027038,0.269577385,0.129958942,0.049984701,0.016473309,0.005226933,1,1,127,Michigan State,83.82,East,7,56
mens,3/12/23,0,1,0.419077203,0.095680581,0.057980839,0.028663103,0.012365692,0.005105941,1,1,2294,Iowa,84.44,Midwest,8,100
mens,3/12/23,0,1,0.484720716,0.163000123,0.072760621,0.02812114,0.009739409,0.004250928,1,1,356,Illinois,84.54,West,9,70
mens,3/12/23,0,1,0.508126528,0.091935716,0.054967897,0.026262055,0.011800902,0.003987945,1,1,120,Maryland,84.5,South,8,4
mens,3/12/23,0,1,0.491873472,0.087225019,0.052298325,0.025069597,0.01107039,0.003674293,1,1,277,West Virginia,84.15,South,9,6
mens,3/12/23,0,1,0.594447596,0.264267455,0.061067412,0.023692745,0.009442572,0.003625692,1,1,2390,Miami (FL),83.6,Midwest,5,104
mens,3/12/23,0,1,0.640734639,0.220408522,0.078826166,0.022566287,0.009452973,0.002972274,1,1,328,Utah State,83.48,South,10,26
mens,3/12/23,0,1,0.335511928,0.183708838,0.087291372,0.035433441,0.010109749,0.002812509,1,1,2507,Providence,82.77,East,11,50
mens,3/12/23,0,1,0.39598755,0.116699701,0.055609081,0.016690661,0.006185568,0.002222538,1,1,213,Penn State,82.78,Midwest,10,122
mens,3/12/23,1,0.565969715,0.254328639,0.128129987,0.043899924,0.013782159,0.005594645,0.002184621,0,1,344,Mississippi State,81.85,Midwest,11,114
mens,3/12/23,0,1,0.587326204,0.187608998,0.065581355,0.025198347,0.006470498,0.002180205,1,1,68,Boise State,82.59,West,10,90
mens,3/12/23,0,1,0.362972962,0.118288891,0.048212049,0.015544351,0.005150957,0.00164254,1,1,30,Southern California,83.04,East,10,58
mens,3/12/23,0,1,0.358777925,0.088024073,0.033883018,0.014851598,0.004981988,0.001606481,1,1,2226,Florida Atlantic,82.57,East,9,38
mens,3/12/23,0,1,0.405552404,0.151522138,0.035333421,0.013802719,0.004600655,0.001500816,1,1,2181,Drake,81.18,Midwest,12,106
mens,3/12/23,0,1,0.412673796,0.109557862,0.03383619,0.011655362,0.003346373,0.001243199,1,1,77,Northwestern,82.24,West,7,88
mens,3/12/23,0,1,0.359265361,0.09164939,0.033308577,0.009685177,0.003949577,0.001208377,1,1,142,Missouri,81.39,South,7,24
mens,3/12/23,0,1,0.214664138,0.073063974,0.02958466,0.008666911,0.003287527,0.000934981,1,1,152,North Carolina State,81.44,South,11,18
mens,3/12/23,0,1,0.414938066,0.106666754,0.029900908,0.008561071,0.002290122,0.000799867,1,1,2670,Virginia Commonwealth,81.65,West,12,74
mens,3/12/23,1,0.543726386,0.182820818,0.050011478,0.019086405,0.007368155,0.001883724,0.000632263,0,1,9,Arizona State,80.34,West,11,82
mens,3/12/23,0,1,0.330757293,0.145341635,0.023798191,0.00752484,0.002406098,0.000577516,1,1,232,College of Charleston,79.77,South,12,10
mens,3/12/23,0,1,0.262683462,0.114002394,0.01818021,0.0052745,0.001455593,0.00039978,1,1,2309,Kent State,79.37,Midwest,13,110
mens,3/12/23,0,1,0.180967734,0.051100857,0.011754228,0.003748082,0.001028003,0.000275861,1,1,198,Oral Roberts,79.19,East,12,42
mens,3/12/23,0,1,0.278589162,0.094053981,0.01391519,0.004059145,0.001157052,0.000248121,1,1,231,Furman,78.23,South,13,14
mens,3/12/23,0,1,0.153607971,0.06735053,0.014643123,0.003328763,0.00071082,0.000203313,1,1,314,Iona,79.63,West,13,78
mens,3/12/23,0,1,0.132394834,0.027310897,0.004407981,0.001041674,0.000234214,5.24E-05,1,1,309,Louisiana-Lafayette,76.35,East,13,46
mens,3/12/23,0,1,0.110796737,0.027856708,0.007699268,0.001674537,0.000266912,4.34E-05,1,1,261,Vermont,76.26,East,15,62
mens,3/12/23,0,1,0.083675854,0.01952097,0.004224046,0.000960372,0.000143975,2.98E-05,1,1,2253,Grand Canyon,75.9,West,14,86
mens,3/12/23,0,1,0.078608341,0.017577136,0.00440695,0.000665104,0.000132684,2.71E-05,1,1,2142,Colgate,76.2,Midwest,15,126
mens,3/12/23,0,1,0.148592093,0.021079525,0.003616481,0.0005367,8.34E-05,1.32E-05,1,1,147,Montana State,75.32,East,14,54
mens,3/12/23,0,1,0.110989026,0.017856597,0.003037756,0.00037485,7.96E-05,1.28E-05,1,1,2540,UC-Santa Barbara,75.52,South,14,22
mens,3/12/23,0,1,0.064605893,0.013438531,0.002427598,0.000361637,7.55E-05,1.20E-05,1,1,163,Princeton,75.41,South,15,30
mens,3/12/23,0,1,0.125778104,0.02273864,0.002481244,0.00026618,4.16E-05,6.75E-06,1,1,338,Kennesaw State,73.28,Midwest,14,118
mens,3/12/23,0,1,0.028952453,0.003638409,0.000675058,9.99E-05,1.45E-05,2.19E-06,1,1,94,Northern Kentucky,72.86,Midwest,16,98
mens,3/12/23,0,1,0.045406384,0.007192118,0.000700563,8.35E-05,9.58E-06,1.55E-06,1,1,2427,North Carolina-Asheville,73.02,West,15,94
mens,3/12/23,1,0.541225583,0.008253903,0.000844124,0.000116639,1.23E-05,1.97E-06,2.42E-07,0,1,357,Texas A&M-Corpus Christi,69.92,South,16,2
mens,3/12/23,0,1,0.021791315,0.001381552,9.69E-05,6.00E-06,3.90E-07,3.67E-08,1,1,47,Howard,69.31,West,16,66
mens,3/12/23,1,0.567976715,0.009251115,0.000533469,2.82E-05,1.99E-06,1.91E-07,1.92E-08,0,1,2640,Texas Southern,66.56,East,16,34
womens,3/12/23,0,1,0.999655968,0.9909538,0.970030517,0.906635613,0.758053024,0.644855834,1,1,2579,South Carolina,110.03,Greenville 1,1,0
womens,3/12/23,0,1,0.996876217,0.945533085,0.798137894,0.544431651,0.327527991,0.084333431,1,1,84,Indiana,98.7,Greenville 2,1,96
womens,3/12/23,0,1,0.999540833,0.946333741,0.72306301,0.524716834,0.123623371,0.074848768,1,1,24,Stanford,100.55,Seattle 4,1,32
womens,3/12/23,0,1,0.995901946,0.934268982,0.701409459,0.438792992,0.228814781,0.053657551,1,1,41,Connecticut,98.59,Seattle 3,2,92
womens,3/12/23,0,1,0.982701753,0.781069536,0.54186201,0.252702921,0.145033463,0.034789641,1,1,99,Louisiana State,96.14,Greenville 2,3,116
womens,3/12/23,0,1,0.996851867,0.904005263,0.695031237,0.282325442,0.055853132,0.030580829,1,1,2294,Iowa,97.19,Seattle 4,2,60
womens,3/12/23,0,1,0.996053013,0.902686563,0.525505127,0.25424292,0.116929835,0.023107618,1,1,259,Virginia Tech,95.72,Seattle 3,1,64
womens,3/12/23,0,1,0.977640973,0.767681074,0.211734833,0.107845265,0.020641104,0.011105753,1,1,251,Texas,94.62,Seattle 4,4,44
womens,3/12/23,0,1,0.979890412,0.72660352,0.328622941,0.138983167,0.057242129,0.009803346,1,1,2633,Tennessee,93.45,Seattle 3,4,76
womens,3/12/23,0,1,0.990884557,0.807850681,0.43589458,0.038696343,0.015124518,0.00668081,1,1,87,Notre Dame,93.82,Greenville 1,3,20
womens,3/12/23,0,1,0.985160245,0.856637423,0.458700003,0.040592047,0.014703321,0.006072549,1,1,120,Maryland,93.6,Greenville 1,2,28
womens,3/12/23,0,1,0.987925204,0.795992604,0.292956688,0.089581209,0.035289021,0.005057995,1,1,254,Utah,92.15,Greenville 2,2,124
womens,3/12/23,0,1,0.960588664,0.678712305,0.195571999,0.077998891,0.026176892,0.003468122,1,1,194,Ohio State,91.03,Seattle 3,3,84
womens,3/12/23,0,1,0.836199596,0.255135383,0.111958321,0.046159944,0.017820401,0.002823674,1,1,66,Iowa State,91.57,Seattle 3,5,72
